"Subject","Day","LGRD"
14,37,0.258333333333333
14,38,0.466666666666667
14,39,0.258333333333333
14,40,0.341666666666667
14,41,0.258333333333333
14,42,0.508333333333333
14,43,0.3
14,44,0.3
14,45,0.216666666666667
14,46,0.341666666666667
14,47,0.3
14,48,0.3
14,49,0.508333333333333
14,50,0.508333333333333
14,51,0.508333333333333
14,52,0.341666666666667
14,53,0.258333333333333
14,54,0.633333333333333
14,55,0.258333333333333
14,56,0.466666666666667
14,57,0.175
14,58,0.175
14,59,0.383333333333333
14,60,0.216666666666667
14,61,0.383333333333333
14,62,0.55
14,63,0.175
14,64,0.675
14,65,0.466666666666667
14,66,0.508333333333333
14,67,0.341666666666667
14,68,0.591666666666667
14,69,0.466666666666667
14,70,0.341666666666667
15,1,0.0916666666666667
15,2,0.05
15,3,-0.0333333333333334
15,4,0.133333333333333
15,5,0.00833333333333333
15,6,0.258333333333333
15,7,0.05
15,8,0.175
15,9,0.425
15,10,0.425
15,11,0.0916666666666667
15,12,0.133333333333333
15,13,0.258333333333333
15,14,0.133333333333333
15,15,0.591666666666667
15,16,0.383333333333333
15,17,0.216666666666667
15,18,0.591666666666667
15,19,0.3
15,20,0.133333333333333
15,21,0.175
15,22,0.466666666666667
15,23,0.341666666666667
15,24,0.175
15,25,0.341666666666667
15,26,0.3
15,27,0.55
15,28,0.3
15,29,0.425
15,30,0.05
15,31,0.341666666666667
15,32,0.425
15,33,0.216666666666667
15,34,0.508333333333333
15,35,0.341666666666667
15,36,0.258333333333333
15,37,0.258333333333333
15,38,0.466666666666667
15,39,0.3
15,40,0.383333333333333
15,41,0.216666666666667
15,42,0.341666666666667
15,43,0.3
15,44,0.341666666666667
15,45,0.466666666666667
15,46,0.425
15,47,0.216666666666667
15,48,0.258333333333333
15,49,0.341666666666667
15,50,0.383333333333333
15,51,0.466666666666667
15,52,0.425
15,53,0.133333333333333
15,54,0.216666666666667
15,55,0.258333333333333
15,56,0.3
15,57,0.3
15,58,0.508333333333333
15,59,0.508333333333333
15,60,0.341666666666667
15,61,0.216666666666667
15,62,0.508333333333333
15,63,0.258333333333333
15,64,0.55
15,65,0.55
15,66,0.591666666666667
15,67,0.00833333333333333
15,68,0.175
15,69,0.55
15,70,0.3
16,1,0.216666666666667
16,2,0.00833333333333333
16,3,-0.0333333333333334
16,4,0.05
16,5,0.133333333333333
16,6,-0.075
16,7,0.341666666666667
16,8,0.133333333333333
16,9,0.00833333333333333
16,10,0.175
16,11,0.175
16,12,0.341666666666667
16,13,0.133333333333333
16,14,0.133333333333333
16,15,0.341666666666667
16,16,0.258333333333333
16,17,0.466666666666667
16,18,0.175
16,19,0.466666666666667
16,20,0.3
16,21,0.133333333333333
16,22,0.425
16,23,0.425
16,24,0.216666666666667
16,25,0.05
16,26,-0.0333333333333334
16,27,0.591666666666667
16,28,0.216666666666667
16,29,0.3
16,30,0.05
16,31,0.00833333333333333
16,32,0.3
16,33,0.383333333333333
16,34,0.216666666666667
16,35,0.341666666666667
16,36,0.591666666666667
16,37,0.508333333333333
16,38,0.425
16,39,0.508333333333333
16,40,0.133333333333333
16,41,0.0916666666666667
16,42,0.05
16,43,0.258333333333333
16,44,0.383333333333333
16,45,0.425
16,46,0.425
16,47,0.05
16,48,0.508333333333333
16,49,0.675
16,50,0.383333333333333
16,51,0.0916666666666667
16,52,0.258333333333333
16,53,0.508333333333333
16,54,0.05
16,55,0.3
16,56,0.05
16,57,0.55
16,58,0.591666666666667
16,59,0.591666666666667
16,60,0.466666666666667
16,61,0.341666666666667
16,62,0.341666666666667
16,63,0.175
16,64,0.3
16,65,0.258333333333333
16,66,0.258333333333333
16,67,0.425
16,68,0.466666666666667
16,69,0.133333333333333
16,70,0.258333333333333
17,1,0.3
17,2,0.591666666666667
17,3,0.55
17,4,0.383333333333333
17,5,0.55
17,6,0.591666666666667
17,7,0.55
17,8,0.675
17,9,0.508333333333333
17,10,0.508333333333333
17,11,0.341666666666667
17,12,0.341666666666667
17,13,0.591666666666667
17,14,0.633333333333333
17,15,0.758333333333333
17,16,0.425
17,17,0.591666666666667
17,18,0.466666666666667
17,19,0.591666666666667
17,20,0.3
17,21,0.591666666666667
17,22,0.383333333333333
17,23,0.425
17,24,0.425
17,25,0.133333333333333
17,26,0.3
17,27,0.758333333333333
17,28,0.633333333333333
17,29,0.55
17,30,0.675
17,31,0.633333333333333
17,32,0.675
17,33,0.383333333333333
17,34,0.425
17,35,0.758333333333333
17,36,0.55
17,37,0.675
17,38,0.591666666666667
17,39,0.675
17,40,0.508333333333333
17,41,0.591666666666667
17,42,0.675
17,43,0.508333333333333
17,44,0.383333333333333
17,45,0.258333333333333
17,46,0.341666666666667
17,47,0.55
17,48,0.55
17,49,0.508333333333333
17,50,0.55
17,51,0.675
17,52,0.383333333333333
17,53,0.466666666666667
17,54,0.341666666666667
17,55,0.675
17,56,0.466666666666667
17,57,0.466666666666667
17,58,0.508333333333333
17,59,0.633333333333333
17,60,0.55
17,61,0.55
17,62,0.55
17,63,0.55
17,64,0.633333333333333
17,65,0.633333333333333
17,66,0.675
17,67,0.716666666666667
17,68,0.425
17,69,0.508333333333333
17,70,0.466666666666667
18,1,0.00833333333333333
18,2,-0.0333333333333334
18,3,0.0916666666666667
18,4,0.05
18,5,0.05
18,6,0.175
18,7,0.258333333333333
18,8,0.508333333333333
18,9,0.133333333333333
18,10,0.258333333333333
18,11,0.258333333333333
18,12,0.175
18,13,0.133333333333333
18,14,0.508333333333333
18,15,0.0916666666666667
18,16,0.341666666666667
18,17,0.216666666666667
18,18,0.175
18,19,0.133333333333333
18,20,0.466666666666667
18,21,0.466666666666667
18,22,0.216666666666667
18,23,0.3
18,24,0.216666666666667
18,25,0.3
18,26,0.466666666666667
18,27,0.00833333333333333
18,28,0.175
18,29,0.175
18,30,0.633333333333333
18,31,0.00833333333333333
18,32,0.00833333333333333
18,33,0.175
18,34,0.341666666666667
18,35,0.425
18,36,0.133333333333333
18,37,0.175
18,38,0.383333333333333
18,39,0.216666666666667
18,40,0.0916666666666667
18,41,0.3
18,42,0.216666666666667
18,43,0.133333333333333
18,44,0.425
18,45,0.425
18,46,0.133333333333333
18,47,0.175
18,48,0.383333333333333
18,49,0.258333333333333
18,50,0.175
18,51,0.341666666666667
18,52,0.175
18,53,0.341666666666667
18,54,0.675
18,55,0.466666666666667
18,56,0.341666666666667
18,57,0.3
18,58,0.341666666666667
18,59,0.175
18,60,0.216666666666667
18,61,0.341666666666667
18,62,0.508333333333333
18,63,0.55
18,64,0.258333333333333
18,65,0.175
18,66,0.55
18,67,0.3
18,68,0.341666666666667
18,69,0.258333333333333
18,70,0.133333333333333
19,1,-0.0333333333333334
19,2,0.133333333333333
19,3,-0.116666666666667
19,4,0.0916666666666667
19,5,-0.075
19,6,-0.116666666666667
19,7,0.00833333333333333
19,8,0.175
19,9,0.175
19,10,0.0916666666666667
19,11,-0.0333333333333334
19,12,-0.0333333333333334
19,13,-0.116666666666667
19,14,0.0916666666666667
19,15,0.216666666666667
19,16,0.216666666666667
19,17,0.05
19,18,0.00833333333333333
19,19,0.0916666666666667
19,20,-0.0333333333333334
19,21,-0.0333333333333334
19,22,0.175
19,23,-0.158333333333333
19,24,0.258333333333333
19,25,0.175
19,26,0.00833333333333333
19,27,-0.0333333333333334
19,28,0.175
